M,N,K
512,1536,7168
512,512,7168
512,3072,1536
512,2048,512
512,7168,2048
512,2304,7168
512,7168,2304
512,256,7168
512,7168,256
512,256,7168
1024,1536,7168
1024,512,7168
1024,3072,1536
1024,2048,512
1024,7168,2048
1024,2304,7168
1024,7168,2304
1024,256,7168
1024,7168,256
1024,256,7168
2048,1536,7168
2048,512,7168
2048,3072,1536
2048,2048,512
2048,7168,2048
2048,2304,7168
2048,7168,2304
2048,256,7168
2048,7168,256
2048,256,7168
4096,1536,7168
4096,512,7168
4096,3072,1536
4096,2048,512
4096,7168,2048
4096,2304,7168
4096,7168,2304
4096,256,7168
4096,7168,256
4096,256,7168
