M,N,K,q_dtype_w
16,8192,28672,torch.float8_e4m3fn
32,8192,28672,torch.float8_e4m3fn
48,8192,28672,torch.float8_e4m3fn
64,8192,28672,torch.float8_e4m3fn
80,8192,28672,torch.float8_e4m3fn
96,8192,28672,torch.float8_e4m3fn
112,8192,28672,torch.float8_e4m3fn
128,8192,28672,torch.float8_e4m3fn
144,8192,28672,torch.float8_e4m3fn
160,8192,28672,torch.float8_e4m3fn
176,8192,28672,torch.float8_e4m3fn
192,8192,28672,torch.float8_e4m3fn
208,8192,28672,torch.float8_e4m3fn
224,8192,28672,torch.float8_e4m3fn
240,8192,28672,torch.float8_e4m3fn
256,8192,28672,torch.float8_e4m3fn
16,8192,8192,torch.float8_e4m3fn
32,8192,8192,torch.float8_e4m3fn
48,8192,8192,torch.float8_e4m3fn
64,8192,8192,torch.float8_e4m3fn
80,8192,8192,torch.float8_e4m3fn
96,8192,8192,torch.float8_e4m3fn
112,8192,8192,torch.float8_e4m3fn
128,8192,8192,torch.float8_e4m3fn
144,8192,8192,torch.float8_e4m3fn
160,8192,8192,torch.float8_e4m3fn
176,8192,8192,torch.float8_e4m3fn
192,8192,8192,torch.float8_e4m3fn
208,8192,8192,torch.float8_e4m3fn
224,8192,8192,torch.float8_e4m3fn
240,8192,8192,torch.float8_e4m3fn
256,8192,8192,torch.float8_e4m3fn
